breakfast;afternoon.tea;evening;after.lunch;after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;variety;how;sugar;format;place.of.purchase;type;sex;profession;sport;age;age_Q;frequency;exotic;spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;slimming;stimulant;relaxant;no.effect.health;words
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;unknown;M;management;sporty;32;25-34;1/day;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;friendliness,relaxing
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;M;management;sporty;31;25-34;1/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,friendliness,relaxing,effect-on-health
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;not.sugar;sachet+loose;supermarket+specialist.;shop.brand;M;senior management;sporty;56;45-59;1/day;not.exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;spirituality,friendliness,refined,stimulant,relaxing
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;black;milk;sugar;sachet;supermarket;known.brand;M;unemployed;sporty;66;60 and +;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;slimming;stimulant;not.relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,slimming,stimulant,effect-on-health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;milk;not.sugar;sachet;supermarket+specialist.;luxury;M;unemployed;sporty;65;60 and +;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,slimming,relaxing,effect-on-health
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;loose;supermarket+specialist.;luxury;M;management;sporty;60;60 and +;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,friendliness,refined
breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;luxury;M;management;sporty;35;35-44;more than 2/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,friendliness,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket+specialist.;varies;F;unemployed;sporty;72;60 and +;more than 2/day;exotic;not.spirituality;good for health;not.diuretic;not.friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,healthy,feminine,refined
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;known.brand;F;unemployed;not.sporty;73;60 and +;more than 2/day;exotic;not.spirituality;not.good for health;not.diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,refined,relaxing
not.breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;varies;F;unemployed;sporty;80;60 and +;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;lemon;not.sugar;sachet;supermarket+specialist.;varies;F;unemployed;not.sporty;76;60 and +;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;iron absorption;not.feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,iron-absorption,stimulant
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;not.friends;restaurant;not.pub;black;other;not.sugar;sachet+loose;supermarket+specialist.;varies;F;unemployed;sporty;63;60 and +;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;not.home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;luxury;F;unemployed;sporty;55;45-59;more than 2/day;exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;no.effect.health;escape-exoticism,diuretic,friendliness,feminine,refined,stimulant,effect-on-health
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;luxury;F;unemployed;not.sporty;56;45-59;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;loose;supermarket+specialist.;known.brand;F;unemployed;not.sporty;60;60 and +;more than 2/day;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;relaxant;no.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,refined,slimming,relaxing,effect-on-health
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;flavoured;milk;not.sugar;sachet;supermarket+specialist.;unknown;F;student;sporty;22;15-24;more than 2/day;exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,diuretic,friendliness,feminine,refined,slimming,stimulant,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;F;employee;sporty;24;15-24;more than 2/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,feminine,refined,relaxing
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket;varies;F;management;sporty;21;15-24;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;varies;F;unemployed;not.sporty;75;60 and +;1 to 2/week;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;friendliness,feminine,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;varies;F;unemployed;not.sporty;37;35-44;more than 2/day;exotic;spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,friendliness,feminine,refined
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;loose;specialist.shop;luxury;F;management;sporty;32;25-34;more than 2/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,friendliness,feminine,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;lemon;sugar;sachet+loose;supermarket+specialist.;varies;F;management;not.sporty;32;25-34;1/day;exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,friendliness,refined,relaxing
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet+loose;supermarket+specialist.;varies;F;management;not.sporty;38;35-44;3 to 6/week;exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,friendliness,feminine,refined,stimulant
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;black;nothing.added;not.sugar;sachet;supermarket;shop.brand;F;unemployed;not.sporty;50;45-59;3 to 6/week;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;restaurant;pub;black;lemon;not.sugar;sachet+loose;supermarket+specialist.;luxury;F;employee;sporty;26;25-34;1/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,friendliness,refined
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet;supermarket;varies;M;senior management;not.sporty;39;35-44;1/day;exotic;not.spirituality;not.good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,diuretic,refined
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;green;nothing.added;not.sugar;sachet+loose;supermarket;known.brand;F;student;sporty;17;15-24;1/day;not.exotic;not.spirituality;not.good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;diuretic,relaxing
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;green;nothing.added;not.sugar;sachet;supermarket;known.brand;F;unemployed;not.sporty;45;45-59;more than 2/day;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,refined,slimming,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;restaurant;not.pub;flavoured;milk;not.sugar;sachet;supermarket+specialist.;known.brand;F;management;not.sporty;36;35-44;more than 2/day;not.exotic;spirituality;good for health;diuretic;not.friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;not.relaxant;not.without.effect.health;spirituality,healthy,diuretic,feminine,refined,slimming
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;green;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;known.brand;F;management;not.sporty;37;35-44;3 to 6/week;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;not.relaxant;no.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,effect-on-health
breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;known.brand;F;unemployed;not.sporty;71;60 and +;more than 2/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,feminine,refined,slimming,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;tearoom;friends;not.restaurant;not.pub;green;nothing.added;not.sugar;sachet;supermarket;shop.brand;F;other work;sporty;48;45-59;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;not.pub;flavoured;milk;not.sugar;sachet;supermarket;known.brand;F;student;not.sporty;23;15-24;1/day;exotic;spirituality;good for health;diuretic;friendliness;iron absorption;not.feminine;refined;not.slimming;stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,iron-absorption,refined,stimulant,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;restaurant;not.pub;black;other;not.sugar;sachet;supermarket+specialist.;varies;F;unemployed;not.sporty;70;60 and +;more than 2/day;exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,feminine,refined,slimming,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;F;student;sporty;19;15-24;3 to 6/week;exotic;not.spirituality;good for health;diuretic;friendliness;iron absorption;feminine;refined;slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,diuretic,friendliness,iron-absorption,feminine,refined,slimming,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;restaurant;pub;flavoured;milk;sugar;sachet;supermarket;varies;F;student;sporty;25;25-34;1/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,refined,relaxing
not.breakfast;Not.afternoon.t;evening;not.after.lunch;after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;unknown;F;student;not.sporty;22;15-24;1 to 2/week;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,relaxing
not.breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;varies;F;student;sporty;22;15-24;1 to 2/week;not.exotic;spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;spirituality,healthy,friendliness,refined,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket;shop.brand;F;employee;not.sporty;34;25-34;1/day;not.exotic;not.spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;no.effect.health;friendliness,feminine,refined,stimulant,effect-on-health
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;restaurant;not.pub;black;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;luxury;F;student;sporty;23;15-24;more than 2/day;not.exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;diuretic,friendliness,relaxing
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;pub;flavoured;nothing.added;sugar;sachet+loose;supermarket+specialist.;varies;F;employee;sporty;21;15-24;1/day;exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,healthy,friendliness,feminine,relaxing
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;tearoom;friends;not.restaurant;not.pub;black;nothing.added;sugar;sachet+loose;supermarket;luxury;F;employee;sporty;37;35-44;1 to 2/week;not.exotic;spirituality;not.good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;relaxant;no.effect.health;spirituality,friendliness,refined,relaxing,effect-on-health
not.breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;work;not.tearoom;friends;not.restaurant;pub;flavoured;nothing.added;not.sugar;loose;specialist.shop;luxury;F;unemployed;sporty;40;35-44;3 to 6/week;not.exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;no.effect.health;diuretic,friendliness,refined,effect-on-health
not.breakfast;afternoon.tea;evening;not.after.lunch;after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;sugar;sachet;supermarket;luxury;F;student;sporty;18;15-24;1 to 2/week;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;not.stimulant;relaxant;no.effect.health;healthy,friendliness,relaxing,effect-on-health
not.breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;green;milk;sugar;sachet;supermarket;known.brand;F;employee;sporty;18;15-24;1/day;not.exotic;not.spirituality;good for health;not.diuretic;friendliness;not.iron absorption;feminine;not.refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;healthy,friendliness,feminine
not.breakfast;afternoon.tea;evening;not.after.lunch;not.after.dinner;anytime;home;work;tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket;varies;F;management;sporty;56;45-59;3 to 6/week;exotic;not.spirituality;not.good for health;diuretic;friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,diuretic,friendliness,refined
breakfast;afternoon.tea;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;not.restaurant;pub;green;nothing.added;not.sugar;sachet;supermarket;varies;F;other work;not.sporty;34;25-34;1/day;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,refined,relaxing
breakfast;Not.afternoon.t;evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;not.restaurant;not.pub;flavoured;milk;sugar;sachet+loose;supermarket+specialist.;varies;M;other work;sporty;32;25-34;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,stimulant
not.breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;tearoom;friends;not.restaurant;not.pub;green;lemon;sugar;sachet+loose;supermarket+specialist.;varies;F;senior management;not.sporty;60;60 and +;3 to 6/week;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;stimulant;not.relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined,stimulant
breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;friends;restaurant;pub;black;nothing.added;not.sugar;sachet+loose;supermarket;known.brand;F;unemployed;sporty;66;60 and +;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;not.feminine;not.refined;not.slimming;stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,stimulant,relaxing
breakfast;afternoon.tea;not.evening;after.lunch;not.after.dinner;not.anytime;home;work;tearoom;friends;restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet+loose;supermarket+specialist.;varies;F;senior management;sporty;49;45-59;3 to 6/week;exotic;not.spirituality;not.good for health;diuretic;not.friendliness;not.iron absorption;not.feminine;refined;not.slimming;not.stimulant;not.relaxant;not.without.effect.health;escape-exoticism,diuretic,refined
breakfast;afternoon.tea;evening;after.lunch;not.after.dinner;anytime;home;work;not.tearoom;friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;loose;specialist.shop;known.brand;F;student;not.sporty;28;25-34;more than 2/day;not.exotic;not.spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;not.slimming;not.stimulant;relaxant;not.without.effect.health;healthy,diuretic,friendliness,feminine,refined,relaxing
breakfast;Not.afternoon.t;not.evening;not.after.lunch;not.after.dinner;not.anytime;home;not.work;not.tearoom;not.friends;not.restaurant;not.pub;flavoured;nothing.added;not.sugar;sachet;supermarket;varies;F;unemployed;not.sporty;22;15-24;1/day;exotic;spirituality;good for health;diuretic;friendliness;not.iron absorption;feminine;refined;slimming;stimulant;not.relaxant;not.without.effect.health;escape-exoticism,spirituality,healthy,diuretic,friendliness,feminine,refined,slimming,stimulant
